counts,freq,group,rep
0,17,WT,rep1
1,19,WT,rep1
2,24,WT,rep1
3,22,WT,rep1
4,23,WT,rep1
5,24,WT,rep1
6,17,WT,rep1
7,16,WT,rep1
8,17,WT,rep1
9,5,WT,rep1
10,6,WT,rep1
11,4,WT,rep1
12,1,WT,rep1
13,4,WT,rep1
14,2,WT,rep1
15,2,WT,rep1
16,2,WT,rep1
0,43,mrc1,rep1
1,35,mrc1,rep1
2,31,mrc1,rep1
3,37,mrc1,rep1
4,46,mrc1,rep1
5,24,mrc1,rep1
6,11,mrc1,rep1
7,10,mrc1,rep1
8,2,mrc1,rep1
9,0,mrc1,rep1
10,1,mrc1,rep1
11,0,mrc1,rep1
12,0,mrc1,rep1
13,0,mrc1,rep1
14,0,mrc1,rep1
15,0,mrc1,rep1
16,0,mrc1,rep1
0,19,mrc1_BC2_NS,rep1
1,32,mrc1_BC2_NS,rep1
2,35,mrc1_BC2_NS,rep1
3,22,mrc1_BC2_NS,rep1
4,21,mrc1_BC2_NS,rep1
5,30,mrc1_BC2_NS,rep1
6,24,mrc1_BC2_NS,rep1
7,21,mrc1_BC2_NS,rep1
8,8,mrc1_BC2_NS,rep1
9,4,mrc1_BC2_NS,rep1
10,5,mrc1_BC2_NS,rep1
11,1,mrc1_BC2_NS,rep1
12,0,mrc1_BC2_NS,rep1
13,0,mrc1_BC2_NS,rep1
14,0,mrc1_BC2_NS,rep1
15,0,mrc1_BC2_NS,rep1
16,0,mrc1_BC2_NS,rep1
0,27,mrc1_BC2,rep1
1,64,mrc1_BC2,rep1
2,58,mrc1_BC2,rep1
3,52,mrc1_BC2,rep1
4,22,mrc1_BC2,rep1
5,12,mrc1_BC2,rep1
6,7,mrc1_BC2,rep1
7,5,mrc1_BC2,rep1
8,0,mrc1_BC2,rep1
9,1,mrc1_BC2,rep1
10,1,mrc1_BC2,rep1
11,0,mrc1_BC2,rep1
12,0,mrc1_BC2,rep1
13,0,mrc1_BC2,rep1
14,0,mrc1_BC2,rep1
15,0,mrc1_BC2,rep1
16,0,mrc1_BC2,rep1
0,24,WT,rep2
1,20,WT,rep2
2,22,WT,rep2
3,26,WT,rep2
4,26,WT,rep2
5,20,WT,rep2
6,28,WT,rep2
7,22,WT,rep2
8,14,WT,rep2
9,10,WT,rep2
10,10,WT,rep2
11,2,WT,rep2
12,4,WT,rep2
13,3,WT,rep2
14,0,WT,rep2
15,0,WT,rep2
16,0,WT,rep2
17,0,WT,rep2
18,0,WT,rep2
0,43,mrc1,rep2
1,30,mrc1,rep2
2,37,mrc1,rep2
3,36,mrc1,rep2
4,22,mrc1,rep2
5,20,mrc1,rep2
6,10,mrc1,rep2
7,5,mrc1,rep2
8,2,mrc1,rep2
9,1,mrc1,rep2
10,0,mrc1,rep2
11,0,mrc1,rep2
12,0,mrc1,rep2
13,0,mrc1,rep2
14,0,mrc1,rep2
15,0,mrc1,rep2
16,0,mrc1,rep2
17,0,mrc1,rep2
18,0,mrc1,rep2
0,45,mrc1_BC2_NS,rep2
1,20,mrc1_BC2_NS,rep2
2,16,mrc1_BC2_NS,rep2
3,32,mrc1_BC2_NS,rep2
4,24,mrc1_BC2_NS,rep2
5,27,mrc1_BC2_NS,rep2
6,20,mrc1_BC2_NS,rep2
7,24,mrc1_BC2_NS,rep2
8,10,mrc1_BC2_NS,rep2
9,5,mrc1_BC2_NS,rep2
10,2,mrc1_BC2_NS,rep2
11,0,mrc1_BC2_NS,rep2
12,2,mrc1_BC2_NS,rep2
13,1,mrc1_BC2_NS,rep2
14,1,mrc1_BC2_NS,rep2
15,0,mrc1_BC2_NS,rep2
16,0,mrc1_BC2_NS,rep2
17,0,mrc1_BC2_NS,rep2
18,0,mrc1_BC2_NS,rep2
0,35,mrc1_BC2,rep2
1,35,mrc1_BC2,rep2
2,27,mrc1_BC2,rep2
3,29,mrc1_BC2,rep2
4,25,mrc1_BC2,rep2
5,21,mrc1_BC2,rep2
6,20,mrc1_BC2,rep2
7,12,mrc1_BC2,rep2
8,2,mrc1_BC2,rep2
9,4,mrc1_BC2,rep2
10,3,mrc1_BC2,rep2
11,0,mrc1_BC2,rep2
12,0,mrc1_BC2,rep2
13,2,mrc1_BC2,rep2
14,1,mrc1_BC2,rep2
15,0,mrc1_BC2,rep2
16,0,mrc1_BC2,rep2
17,0,mrc1_BC2,rep2
18,1,mrc1_BC2,rep2
0,30,WT,rep3
1,24,WT,rep3
2,20,WT,rep3
3,20,WT,rep3
4,9,WT,rep3
5,18,WT,rep3
6,29,WT,rep3
7,19,WT,rep3
8,11,WT,rep3
9,9,WT,rep3
10,4,WT,rep3
11,6,WT,rep3
12,1,WT,rep3
13,5,WT,rep3
14,1,WT,rep3
15,1,WT,rep3
16,1,WT,rep3
17,0,WT,rep3
0,32,mrc1,rep3
1,34,mrc1,rep3
2,26,mrc1,rep3
3,21,mrc1,rep3
4,29,mrc1,rep3
5,24,mrc1,rep3
6,19,mrc1,rep3
7,7,mrc1,rep3
8,5,mrc1,rep3
9,2,mrc1,rep3
10,3,mrc1,rep3
11,1,mrc1,rep3
12,0,mrc1,rep3
13,0,mrc1,rep3
14,1,mrc1,rep3
15,2,mrc1,rep3
16,0,mrc1,rep3
17,0,mrc1,rep3
0,43,mrc1_BC2_NS,rep3
1,32,mrc1_BC2_NS,rep3
2,28,mrc1_BC2_NS,rep3
3,31,mrc1_BC2_NS,rep3
4,28,mrc1_BC2_NS,rep3
5,26,mrc1_BC2_NS,rep3
6,15,mrc1_BC2_NS,rep3
7,14,mrc1_BC2_NS,rep3
8,8,mrc1_BC2_NS,rep3
9,1,mrc1_BC2_NS,rep3
10,2,mrc1_BC2_NS,rep3
11,0,mrc1_BC2_NS,rep3
12,0,mrc1_BC2_NS,rep3
13,0,mrc1_BC2_NS,rep3
14,0,mrc1_BC2_NS,rep3
15,0,mrc1_BC2_NS,rep3
16,0,mrc1_BC2_NS,rep3
17,0,mrc1_BC2_NS,rep3
0,30,mrc1_BC2,rep3
1,22,mrc1_BC2,rep3
2,32,mrc1_BC2,rep3
3,36,mrc1_BC2,rep3
4,28,mrc1_BC2,rep3
5,22,mrc1_BC2,rep3
6,17,mrc1_BC2,rep3
7,14,mrc1_BC2,rep3
8,8,mrc1_BC2,rep3
9,1,mrc1_BC2,rep3
10,1,mrc1_BC2,rep3
11,1,mrc1_BC2,rep3
12,0,mrc1_BC2,rep3
13,0,mrc1_BC2,rep3
14,0,mrc1_BC2,rep3
15,0,mrc1_BC2,rep3
16,0,mrc1_BC2,rep3
17,0,mrc1_BC2,rep3
